Original_Spelling,Standardised_Spelling
tef,teff
marantha,amaranth
nduma,arrow root
arrowroot,arrow root
arrow roots,arrow root
  avocado,avocado
avocados,avocado
ovacado,avocado
avacado,avocado
avacado ,avocado
bambaranuts,bambara nut
bambara nuts,bambara nut
bambaranut,bambara nut
beans_bambara,bambara nut
njugu mawe,bambara nut
bambara,bambara nut
woandzou,bambara nut
bananos,banana
banana_sweet,banana
frijoles,beans
frejol,beans
betell,betel
mishelisheli,breadfruit
cabage,cabbage
cabbages,cabbage
cabbage and sukuma,cabbage
sukuma,cabbage
cole,cabbage
cocao,cacao
cashewnut,cashew
cashewnuts,cashew
cashew nut,cashew
 cashewnut,cashew
cashewnut s,cashew
yuca,cassava
manioc,cassava
yuca blanca,cassava
mhogo,cassava
feuilles de manioc,cassava
check bens,chick peas
peper,chilipepper
chili_pepper,chilipepper
chili,chilipepper
chile,chilipepper
pilipili boga,chilipepper
pilipili boga ,chilipepper
philip boga,chilipepper
pimienta,chilipepper
cocotier,coconut
Cocotier,coconut
coco,coconut
coconuts,coconut
caf??,coffee
nursary bed(coffee),coffee
cofee,coffee
cilantro,coriander
culantro_coyote,coriander
coton,cotton
cooton,cotton
coton ,cotton
coton apr??s,cotton
conton,cotton
cotonier,cotton
cowpees,cowpea
cow_pea,cowpea
cow pea,cowpea
niebe,cowpea
kunde,cowpea
"kunde,malenge",cowpea
egg plant,eggplant
egg  plants,eggplant
eggplant in 2015,eggplant
aubergines sauvages ,eggplant
aubergines,eggplant
eggplants,eggplant
Aubergine,eggplant
elephant brass,elephant grass
field_bean,fava bean
fava_beans,fava bean
fava beans,fava bean
funegreek,fenugreek
fungreek,fenugreek
funogreek,fenugreek
fune greece,fenugreek
fenogreek,fenugreek
fenu greece,fenugreek
flores_tropicales,flowers
other_fodder,fodder
fodder_legumes,fodder
fodder_trees_shrubs,fodder
oats_forage,fodder
pastos,fodder
pasto,fodder
calliandra,fodder
past??que,fodder
heno y trebol,fodder
heno,fodder
frutales,fruits
fruittree,fruits
agwonyo(local fruit),fruits
grasspea,grass pea
choroko,green gram
green_gram,green gram
green_grams,green gram
green  paper,green pepper
green paper,green pepper
greenpaper,green pepper
berbers/green paper.,green pepper
pois de terre,groundnut
peanut,groundnut
poids de terre,groundnut
ground nut,groundnut
groundnuts,groundnut
grounduts,groundnut
"groundnuts, banana",groundnut
poid terre,groundnut
poid de terre,groundnut
poit de terre,groundnut
arachide,groundnut
ground_nut,groundnut
ground_nuts,groundnut
mapera,guava
guavas,guava
hrict bean,haricot bean
harricot bean,haricot bean
harricotbean,haricot bean
harricot,haricot bean
haricots,haricot bean
haricot,haricot bean
haricot_beans,haricot bean
roselle_sorrel,hybiscus
irish potatoes,irish potato
irishpotatoes,irish potato
irishpotato,irish potato
irish potatoes ,irish potato
round patato ,irish potato
round patato,irish potato
irish pitatoes,irish potato
potatoes intercropped with beans,irish potato
potatoes,irish potato
papa de mesa,irish potato
papa de mesa ,irish potato
pomme de terre,irish potato
viazi ulaya,irish potato
viazi ulaya ,irish potato
viazimviringo,irish potato
viazimviringo ,irish potato
irish_potato,irish potato
"kales, local vegetables (osuga,  dek)",kales
vegetables (kales),kales
kale,kales
ndimu,lemons
ndimu ,lemons
lemon,lemons
lentil (miser),lentils
dengu,lentils
dengue,lentils
lentile,lentils
lentil,lentils
flax,linseed
linseed(teleba),linseed
linseed (teleba),linseed
macadamia ,macadamia
corn,maize
mais,maize
ma??z,maize
miembe,mango
mangoes,mango
mang,mangosteen
mashua_tuber,mashua
dau xanh,mung bean
naranjia,naranjilla
aja( oat ),oats
aja,oats
aja(oat),oats
avena,oats
oat,oats
oca_oxalis_tuberosum,oca
palmier ?? huile,oilpalm
palmier ?? huile ,oilpalm
palmier a huile,oilpalm
palma_aceitera,oilpalm
bamia ,okra
gombo,okra
onions ,onions
onion,onions
onion ,onions
oignon,onions
Oignon,onions
oignons,onions
vitungu ,onions
vitunguu,onions
vitunguu ,onions
ognons,onions
onoin,onions
ognons,onions
michenza,oranges
michungwa,oranges
machungwa,oranges
citricos,oranges
orange,oranges
otras_hortalizas,other vegetables
local veges - mrenda,other vegetables
local veges- saga,other vegetables
ododo(local vegetable),other vegetables
gesho,other vegetables
gesho/,other vegetables
local vegetable,other vegetables
local vegetables - osuga,other vegetables
local vegetables - mrenda and miyo,other vegetables
traditional vegetables,other vegetables
local veges(osuga and dek),other vegetables
osuga(local vegetable),other vegetables
local vegetable(dek),other vegetables
sukuma(vegetable),other vegetables
local vegetables(managu),other vegetables
buna,other vegetables
ricin,other vegetables
dah,other vegetables
geraspea,other vegetables
gisho,other vegetables
geso,other vegetables
gesho/ramines,other vegetables
vetch,other vegetables
temez,other vegetables
masho,other vegetables
dengolo,other vegetables
denigolo (boleke),other vegetables
abish,other vegetables
meser,other vegetables
"ibisunzu,intengwa,ubushaza",other vegetables
sinar,other vegetables
miwa,other vegetables
fiwi,other vegetables
"local vegetables (kunde, malenge)",other vegetables
local veges,other vegetables
mrenda,other vegetables
vegetables  (sukuma wiki),other vegetables
sukuma and black night shade,other vegetables
sukuma wiki,other vegetables
nyanya,other vegetables
kamurari,other vegetables
"local vegetables (osuga, dek)",other vegetables
ot,other vegetables
managu,other vegetables
mukungwa,other vegetables
mukungwa(nom vernaculaire),other vegetables
local vegetables(saga and managu),other vegetables
local vegetables(saga),other vegetables
local vegetables( osuga and dek),other vegetables
local vegetables,other vegetables
local vegetable (mito),other vegetables
saga(local vegetable),other vegetables
bakeke,other vegetables
miro,other vegetables
nazi,other vegetables
??amp??,other vegetables
??ame?,other vegetables
tomoko,other vegetables
palmito,palm heart
mipapai,papaya
mipapai  ,papaya
papai,papaya
maravuya,passion fruit
maracuya,passion fruit
passion fruits,passion fruit
paw paw,pawpaw
pawpaw ,pawpaw
bullrush millet,pearl millet
bullrush millet,pearl millet
bullrush millet,pearl millet
millet_late,millet
millet_early,millet
petits pois,peas
petits poids,peas
petit poids,peas
pois,peas
dekoko,peas
gandul,pigeon pea
Ambrevade,pigeon pea
pigeonpea,pigeon pea
pigeon_pea,pigeon pea
pina,pineapple
anana,pineapple
native_potato,potato
papa arenosa,potato
koba,pumpkin
pumpkins,pumpkin
chayote,pumpkin
maboga ,pumpkin
pipianes,pumpkin
guisquil,pumpkin
maboga,pumpkin
pumpkins,pumpkin
banana_plaintain,plantain
banana_verte,plantain
plat??no,plantain
rabano,radish
rambut??n,rambutan
me,rice
mashua,root vegetable
papa peruanita y largas,root vegetable
oca,root vegetable
tiquisque,root vegetable
ក???រូចព???ធិ???ាត??,rubber
cao su,rubber
caosu,rubber
icao su,rubber
pamba,rubber
"vegetables- sukuma, spinach, mrenda",spinach
chaya,spinach
chayas,spinach
sorgo,sorghum
sorgham,sorghum
soja,soya bean
soja ,soya bean
sojabean,soya bean
soyabean,soya bean
soya beans,soya bean
"ni??b??,soja",soya bean
ni??b??,soya bean
sosa,soya bean
soza,soya bean
saza,soya bean
soza ,soya bean
???ឞ???រ???ក??????ង,soya bean
soy_bean,soya bean
soya,soya bean
soya_bean,soya bean
"
sugarcane",sugarcane
shugerkcan/shekora ageda,sugarcane
cultivo de ca?a,sugarcane
canne ?? sucre,sugarcane
cannes ?? sucre,sugarcane
canne ?? sucre ,sugarcane
"canne ?? sucre,patate douce ",sugarcane
sugercane,sugarcane
 sugarcane,sugarcane
sugar cane,sugarcane
canne a sucre,sugarcane
shekora,sugarcane
ca?a,sugarcane
sugar_cane,sugarcane
tourne sol,sunflower
sweet potatoes,sweet potato
sweetpotatoes,sweet potato
sweet_potato,sweet potato
sweet  potatoes,sweet potato
 sweet potato,sweet potato
patate_douce,sweet potato
sweet patato,sweet potato
orange sweet potatoes,sweet potato
viazivitamu ,sweet potato
viazi tona,sweet potato
sweetpotato,sweet potato
matembele,sweet potato leaves
