Original_Spelling,Standardised_Spelling
dog,dogs
camels,camel
camale,camel
chat,cats
cat,cats
jatos y conejos,cats
cow,cattle
cows,cattle
vache,cattle
vaches,cattle
calves,cattle
boeuf,cattle
chicken_poultry,chicken
gallinas enea,chicken
boliers,chicken
chien,dog
chien ,dog
chiens,dog
2dog,dog
mbwa,dog
mbwa kwa ulinzi,dog
coton,dog
dogs,dog
perro y gato,dog
pigeons ,doves
pegions (doves),doves
pegions,doves
pigeons,doves
pigeon,doves
dove,doves
do??s,doves
njiwa,doves
njiwa  (dove),doves
njiwa (pigeon),doves
tortues,doves
bo cau,doves
bata,ducks
duck  (bata),ducks
dack,ducks
dacks,ducks
ducks ,ducks
duck,ducks
pato,ducks
patos,ducks
canards,ducks
canard ,ducks
canard,ducks
canal,ducks
trucha,fish
fishes,fish
??tang piscicole ,fish
gansos,geese
ganzo,geese
guinea fowl,otherpoultry
guinea_fowl,otherpoultry
kanga,otherpoultry
kanga ,otherpoultry
turkey,otherpoultry
pintades,otherpoultry
chompipe,otherpoultry
chompipes,otherpoultry
kalukuluku,otherpoultry
pstos,otherpoultry
dindon,otherpoultry
cobaye,guinea pigs
cobaille,guinea pigs
cobails,guinea pigs
cobayes,guinea pigs
guinea pig,guinea pigs
guinea_pig,guinea pigs
simbilisi,guinea pigs
simbilisi ,guinea pigs
guinea_pigs_cavy,guinea pigs
cochon-dinde,guinea pigs
caballos,donkeys_horses
caballo,donkeys_horses
equino,donkeys_horses
horse,donkeys_horses
donkeys,donkeys_horses
donkeys_mules,donkeys_horses
mulas,donkeys_horses
punda,donkeys_horses
punda  (donkey ),donkeys_horses
horse,donkeys_horses
horses,donkeys_horses
ane,donkeys_horses
??ne,donkeys_horses
porc,pigs
conejo,rabbits
conejos,rabbits
rabbit,rabbits
brebis,sheep
souris blancs,small_mammals
carmel,small_mammals
bestias,small_mammals
crickets,small_mammals
other1_imp,other1
nothing,NA
2,NA
